"id_user1";"id_user2"
"27641";"19441"
"32232";"27708"
"2074";"29580"
"19517";"22256"
"27128";"5014"
"34541";"5284"
"33647";"6015"
"6989";"22774"
"3477";"11999"
"14159";"16260"
"25861";"8704"
"28320";"12382"
"9027";"34756"
"29370";"34029"
"33738";"20928"
"31631";"21511"
"17666";"10537"
"4301";"10203"
"9088";"34720"
"2138";"1033"
"29538";"17289"
"28515";"10581"
"13762";"7966"
"25689";"21737"
"13287";"27855"
"10361";"23946"
"1547";"8958"
"8663";"23289"
"31797";"160"
"31954";"20154"
"4478";"14042"
"14251";"17426"
"6851";"8423"
"7611";"23735"
"19046";"2805"
"16826";"2635"
"12225";"19636"
"21471";"4517"
"16039";"28676"
"20772";"22851"
"11758";"32706"
"29777";"21532"
"10101";"29709"
"29339";"19975"
"23569";"13463"
"3575";"15574"
"6013";"32868"
"24272";"5963"
"13662";"24120"
"9609";"20725"
"31038";"10769"
"27674";"2151"
"34949";"23678"
"24386";"13924"
"12789";"22209"
"18634";"27556"
"30335";"32272"
"709";"12364"
"27512";"19248"
"19473";"28325"
"29411";"1751"
"649";"13357"
"12048";"2589"
"3269";"26926"
"8250";"26590"
"8650";"1288"
"26052";"30601"
"28223";"28040"
"16462";"14164"
"7863";"29573"
"27908";"10463"
"26142";"22418"
"17952";"19670"
"4078";"6680"
"9365";"753"
"33235";"5274"
"18402";"19839"
"22155";"1719"
"20884";"23353"
"26966";"28242"
"29468";"25278"
"3880";"9695"
"22884";"6294"
"11491";"11350"
"23666";"24706"
"32335";"12097"
"19346";"27272"
"10190";"26724"
"29473";"32621"
"13794";"17168"
"27594";"5272"
"7154";"16506"
"5259";"12317"
"9487";"5093"
"13601";"27723"
"28944";"25907"
"19806";"14487"
"24952";"17625"
"25660";"22298"
"13198";"29350"
"33020";"19162"
"30741";"30545"
"33080";"4953"
"26230";"26409"
"18567";"20679"
"713";"31939"
"29130";"17667"
"29293";"5653"
"15825";"17549"
"20954";"5560"
"6038";"3481"
"893";"34616"
"10877";"23188"
"21377";"12493"
"28677";"4412"
"13352";"2422"
"20057";"9025"
"25866";"32089"
"6986";"31184"
"16298";"33006"
"9467";"6999"
"15308";"25187"
"29066";"8578"
"5861";"34652"
"22897";"33164"
"8038";"32112"
"19821";"34941"
"27886";"23998"
"28395";"31870"
"13701";"11725"
"19694";"18994"
"15452";"6266"
"24636";"20660"
"15906";"20451"
"22025";"29107"
"24014";"19940"
"26785";"9033"
"7126";"6873"
"2687";"16203"
"6951";"15989"
"8187";"34911"
"27268";"4614"
"15479";"24010"
"19458";"17050"
"27539";"26937"
"2675";"8433"
"24844";"14730"
"11213";"33040"
"14457";"30532"
"18660";"20257"
"17090";"15620"
"8454";"26098"
"25969";"21149"
"24576";"29140"
"18883";"7727"
"28256";"1775"
"31849";"23183"
"121";"10494"
"17115";"13821"
"22100";"11233"
"5817";"3581"
"32124";"28841"
"88";"2485"
"6591";"16031"
"1009";"5750"
"15942";"3970"
"26982";"5013"
"33008";"12416"
"27719";"8772"
"30173";"15004"
"32167";"29320"
"4458";"8821"
"3613";"8998"
"18826";"31201"
"13625";"17770"
"4137";"9790"
"3380";"13179"
"14104";"12754"
"8476";"12703"
"14629";"4344"
"53";"4613"
"21851";"22206"
"31168";"7280"
"23368";"30220"
"19816";"21397"
"11211";"27523"
"10452";"19774"
"2227";"8934"
"6600";"24221"
"33043";"27424"
"33813";"16121"
"16627";"27034"
"20995";"17048"
"20845";"27993"
"34565";"14384"
"10124";"26450"
"30953";"1673"
"21195";"2715"
"34341";"31462"
"16449";"7335"
"31547";"3479"
"20511";"21586"
"26329";"22434"
"27989";"30821"
"25253";"20063"
"28367";"845"
"7026";"18488"
"11819";"23051"
"32834";"5153"
"34447";"13633"
"34969";"15143"
"3431";"19163"
"34390";"27904"
"4514";"34900"
"21500";"24567"
"27917";"32141"
"4397";"30070"
"18467";"20403"
"1165";"9664"
"31269";"8433"
"848";"21840"
"1159";"33601"
"33491";"33082"
"26062";"22770"
"12334";"29546"
"27729";"7565"
"31591";"4915"
"15168";"22961"
"28416";"23196"
"23824";"32036"
