"id_user";"id_work"
"1";"79"
"2";"7078"
"3";"211"
"4";"9118"
"5";"1637"
"6";"7705"
"7";"2375"
"8";"59"
"9";"8856"
"10";"7615"
"11";"1559"
"12";"4940"
"13";"8704"
"14";"4212"
"15";"4674"
"16";"364"
"17";"8319"
"18";"8846"
"19";"8534"
"20";"3425"
"21";"7067"
"22";"8472"
"23";"8016"
"24";"3834"
"25";"9963"
"26";"8353"
"27";"4809"
"28";"4706"
"29";"5946"
"30";"4560"
"31";"317"
"32";"9872"
"33";"1865"
"34";"4689"
"35";"1423"
"36";"1627"
"37";"578"
"38";"7617"
"39";"8860"
"40";"5586"
"41";"5436"
"42";"6591"
"43";"6018"
"44";"1409"
"45";"399"
"46";"7365"
"47";"9206"
"48";"6177"
"49";"5112"
"50";"6749"
"51";"541"
"52";"5013"
"53";"2893"
"54";"466"
"55";"1701"
"56";"6503"
"57";"14"
"58";"8903"
"59";"1809"
"60";"9569"
"61";"7330"
"62";"9248"
"63";"7209"
"64";"4553"
"65";"2962"
"66";"4653"
"67";"1705"
"68";"5281"
"69";"2710"
"70";"802"
"71";"1541"
"72";"109"
"73";"7029"
"74";"6530"
"75";"5248"
"76";"7310"
"77";"9228"
"78";"5789"
"79";"4781"
"80";"3591"
"81";"6281"
"82";"8036"
"83";"6748"
"84";"3178"
"85";"6556"
"86";"7190"
"87";"5349"
"88";"845"
"89";"6920"
"90";"1113"
"91";"6340"
"92";"9943"
"93";"9965"
"94";"4776"
"95";"2248"
"96";"5420"
"97";"5033"
"98";"5478"
"99";"8427"
"100";"6116"
"101";"7922"
"102";"4780"
"103";"8498"
"104";"3287"
"105";"9769"
"106";"6422"
"107";"706"
"108";"5244"
"109";"8141"
"110";"3330"
"111";"2212"
"112";"5553"
"113";"9436"
"114";"2710"
"115";"3340"
"116";"4668"
"117";"9492"
"118";"8990"
"119";"2092"
"120";"6520"
"121";"7187"
"122";"5977"
"123";"4958"
"124";"9649"
"125";"2159"
"126";"3421"
"127";"7159"
"128";"5294"
"129";"3341"
"130";"1262"
"131";"6345"
"132";"6777"
"133";"7817"
"134";"2724"
"135";"7034"
"136";"8299"
"137";"3084"
"138";"7993"
"139";"1151"
"140";"6017"
"141";"5412"
"142";"327"
"143";"9854"
"144";"3233"
"145";"226"
"146";"8405"
"147";"4357"
"148";"4403"
"149";"6278"
"150";"4036"
"151";"1635"
"152";"7119"
"153";"6553"
"154";"7763"
"155";"9942"
"156";"5871"
"157";"9552"
"158";"1506"
"159";"1840"
"160";"6096"
"161";"586"
"162";"3143"
"163";"6633"
"164";"1841"
"165";"318"
"166";"1037"
"167";"2646"
"168";"6918"
"169";"7478"
"170";"7735"
"171";"1845"
"172";"8041"
"173";"6972"
"174";"9167"
"175";"5556"
"176";"6464"
"177";"5682"
"178";"7539"
"179";"7112"
"180";"3551"
"181";"9196"
"182";"7685"
"183";"8886"
"184";"1925"
"185";"9814"
"186";"2130"
"187";"9202"
"188";"181"
"189";"4932"
"190";"3449"
"191";"744"
"192";"1938"
"193";"3197"
"194";"9363"
"195";"6816"
"196";"1318"
"197";"6509"
"198";"9061"
"199";"6247"
"200";"7032"
"201";"2565"
"202";"5970"
"203";"2488"
"204";"8065"
"205";"2862"
"206";"2303"
"207";"6294"
"208";"3389"
"209";"9428"
"210";"6214"
"211";"9612"
"212";"2791"
"213";"8763"
"214";"8306"
"215";"2930"
"216";"6456"
"217";"1285"
"218";"2637"
"219";"9298"
"220";"4143"
"221";"8476"
"222";"4290"
"223";"6195"
"224";"9641"
"225";"2185"
"226";"2528"
"227";"7933"
"228";"7063"
"229";"9212"
"230";"301"
"231";"7195"
"232";"7988"
"233";"5912"
"234";"2082"
"235";"2083"
"236";"4325"
"237";"9867"
"238";"9401"
"239";"4710"
"240";"7784"
"241";"706"
"242";"233"
"243";"8017"
"244";"5531"
"245";"2317"
"246";"8122"
"247";"66"
"248";"120"
"249";"2690"
"250";"7597"
"251";"2111"
"252";"529"
"253";"9580"
"254";"9857"
"255";"7275"
"256";"804"
"257";"4756"
"258";"7731"
"259";"1629"
"260";"6077"
"261";"5074"
"262";"6779"
"263";"6550"
"264";"7137"
"265";"1177"
"266";"2008"
"267";"3427"
"268";"3780"
"269";"8439"
"270";"8036"
"271";"5169"
"272";"2834"
"273";"8382"
"274";"589"
"275";"374"
"276";"2812"
"277";"2885"
"278";"474"
"279";"2288"
"280";"9671"
"281";"4004"
"282";"7612"
"283";"4888"
"284";"2928"
"285";"9633"
"286";"2531"
"287";"2757"
"288";"2647"
"289";"342"
"290";"8250"
"291";"5507"
"292";"6918"
"293";"9377"
"294";"4777"
"295";"5869"
"296";"3454"
"297";"5412"
"298";"84"
"299";"9183"
"300";"5363"
"301";"8524"
"302";"6994"
"303";"6137"
"304";"1574"
"305";"9108"
"306";"6619"
"307";"8443"
"308";"4051"
"309";"9433"
"310";"8184"
"311";"9758"
"312";"2595"
"313";"5599"
"314";"244"
"315";"2673"
"316";"6529"
"317";"9657"
"318";"4848"
"319";"3341"
"320";"2840"
"321";"9307"
"322";"4632"
"323";"9113"
"324";"4773"
"325";"176"
"326";"7284"
"327";"5773"
"328";"2645"
"329";"9788"
"330";"2005"
"331";"8345"
"332";"8699"
"333";"2004"
"334";"4659"
"335";"7226"
"336";"43"
"337";"6200"
"338";"2122"
"339";"765"
"340";"6633"
"341";"8131"
"342";"9081"
"343";"5970"
"344";"2341"
"345";"7420"
"346";"5799"
"347";"7424"
"348";"1235"
"349";"2279"
"350";"3787"
"351";"1892"
"352";"5782"
"353";"3270"
